Duty ID,Start time,End time
1,03:25,11:39
2,13:00,23:21
3,03:30,10:40
4,13:00,23:23
5,04:00,12:32
6,13:13,23:45
7,04:10,11:38
8,13:18,22:23
9,04:15,12:02
10,13:18,23:19
11,04:21,11:58
12,13:20,22:48
13,04:25,12:01
14,13:23,22:17
15,04:30,12:43
16,14:35,23:26
17,04:35,13:02
18,13:13,21:53
19,04:40,12:57
20,14:35,22:58
21,04:44,13:43
22,14:10,22:22
23,04:50,12:35
24,14:55,00:42
25,05:10,13:38
26,14:33,23:50
27,15:00,00:26
28,15:01,22:49
29,15:25,01:05
30,15:35,01:13
31,15:43,00:05
32,16:05,23:45
33,16:13,00:03
34,07:47,19:39
35,08:59,20:12
36,09:10,20:22
37,05:30,19:05
38,05:30,19:09
39,05:30,19:04
40,05:30,19:03
41,05:42,19:18
42,05:46,19:23
43,05:50,19:10
44,05:50,19:19
45,05:50,19:25
46,05:55,19:35
47,05:55,19:33
48,05:58,19:38
49,06:05,19:42
50,06:10,19:34
51,06:11,19:47
52,06:11,19:05
53,06:13,19:51
54,06:17,19:54
55,06:30,19:58
56,06:31,20:02
57,06:32,20:07
58,07:05,20:44
59,07:40,20:42
60,04:20,13:48
61,13:53,19:19
62,05:22,17:05
63,17:17,22:59
64,03:40,13:28
65,03:50,14:38
66,03:55,13:38
67,03:55,14:58
68,04:00,13:02
69,04:05,13:45
70,04:00,13:28
71,04:10,15:34
72,04:25,14:06
73,04:25,13:39
74,04:26,14:02
75,04:30,13:56
76,04:42,15:26
77,04:50,13:58
78,04:55,15:10
79,04:55,16:18
80,04:55,15:15
81,04:58,16:38
82,05:06,17:01
83,05:10,16:17
84,05:10,15:38
85,05:23,14:38
86,05:30,17:39
87,05:30,17:30
88,05:30,16:50
89,05:34,16:02
90,10:08,20:32
91,10:13,21:33
92,10:30,20:23
93,10:56,21:02
94,11:07,20:52
95,11:08,21:06
96,11:23,20:51
97,11:40,21:56
98,11:50,20:46
99,11:53,22:02
100,12:03,21:49
101,12:05,21:01
102,12:07,22:01
103,12:20,23:02
104,12:23,23:17
105,12:35,22:32
106,12:35,21:21
107,12:37,22:57
108,12:41,21:55
109,12:50,22:19
110,03:15,09:50
111,03:20,14:15
112,03:25,13:58
113,03:50,17:23
114,03:55,17:24
115,03:55,14:16
116,03:55,16:35
117,04:10,15:52
118,04:10,17:21
119,04:10,15:47
120,04:15,17:39
121,04:20,17:54
122,04:30,17:56
123,04:34,18:11
124,04:40,18:11
125,04:52,18:05
126,04:55,18:02
127,05:00,18:19
128,05:00,18:09
129,05:04,18:31
130,05:04,18:39
131,05:05,18:24
132,05:05,18:38
133,05:05,17:31
134,05:10,18:31
135,05:15,18:52
136,05:18,18:47
137,05:22,18:59
138,05:24,19:03
139,05:25,19:01
140,08:24,21:59
141,08:55,22:32
142,09:00,22:29
143,04:40,10:38
144,12:00,21:04
