Duty ID,Start time,End time,Start stop description,End stop description
1,03:25,11:39,Montclair Transit Center,Pomona Transit Center
2,13:00,23:21,Pomona Transit Center,Temple Ave and S. Campus Dr
3,03:30,10:40,Pomona Transit Center,Temple Ave and S. Campus Dr
4,13:00,23:23,El Monte Station,Brea Mall Transit Center
5,04:00,12:32,Pomona Transit Center,Pomona Transit Center
6,13:13,23:45,Pomona Transit Center,El Monte Station
7,04:10,11:38,Montclair Transit Center,El Monte Station
8,13:18,22:23,Pomona Transit Center,El Monte Station
9,04:15,12:02,Citrus Gold Line Station,Pomona Transit Center
10,13:18,23:19,Figueroa and 9th,Montclair Transit Center
11,04:21,11:58,San Dimas Park and Ride,Montclair Transit Center
12,13:20,22:48,Temple Ave and S. Campus Dr,Citrus Gold Line Station
13,04:25,12:01,Montclair Transit Center,Temple Ave and S. Campus Dr
14,13:23,22:17,El Monte Station,Puente Hills Mall
15,04:30,12:43,Pomona Transit Center,El Monte Station
16,14:35,23:26,Citrus Gold Line Station,Puente Hills Mall
17,04:35,13:02,Puente Hills Mall,Pomona Transit Center
18,13:13,21:53,Pomona Transit Center,Citrus Gold Line Station
19,04:40,12:57,Temple Ave and S. Campus Dr,Montclair Transit Center
20,14:35,22:58,Puente Hills Mall,El Monte Station
21,04:44,13:43,Industry Park & Ride,Pomona Transit Center
22,14:10,22:22,Temple Ave and S. Campus Dr,Temple Ave and S. Campus Dr
23,04:50,12:35,Pomona Transit Center,Temple Ave and S. Campus Dr
24,14:55,00:42,Temple Ave and S. Campus Dr,El Monte Station
25,05:10,13:38,Montclair Transit Center,Pomona Transit Center
26,14:33,23:50,Figueroa and 9th,El Monte Station
27,15:00,00:26,Pomona Transit Center,Puente Hills Mall
28,15:01,22:49,Pomona Transit Center,Montclair Transit Center
29,15:25,01:05,Temple Ave and S. Campus Dr,Pomona Transit Center
30,15:35,01:13,Citrus Gold Line Station,El Monte Station
31,15:43,00:05,Montclair Transit Center,Pomona Transit Center
32,16:05,23:45,Pomona Transit Center,Puente Hills Mall
33,16:13,00:03,Pomona Transit Center,El Monte Station
34,07:47,19:39,Montclair Transit Center,Grand Ave Park and Ride
35,08:59,20:12,Temple Ave and S. Campus Dr,Industry Park & Ride
36,09:10,20:22,Temple Ave and S. Campus Dr,San Dimas Park and Ride
37,05:30,19:05,Montclair Transit Center,Pomona Transit Center
38,05:30,19:09,Pomona Transit Center,Temple Ave and S. Campus Dr
39,05:30,19:04,Montclair Transit Center,Citrus Gold Line Station
40,05:30,19:03,Citrus Gold Line Station,Puente Hills Mall
41,05:42,19:18,Montclair Transit Center,Puente Hills Mall
42,05:46,19:23,Temple Ave and S. Campus Dr,Temple Ave and S. Campus Dr
43,05:50,19:10,Montclair Transit Center,Temple Ave and S. Campus Dr
44,05:50,19:19,Pomona Transit Center,San Dimas Park and Ride
45,05:50,19:25,Pomona Transit Center,Pomona Transit Center
46,05:55,19:35,Ridgeway and Valley,Hope and 9th
47,05:55,19:33,Montclair Transit Center,El Monte Station
48,05:58,19:38,Montclair Transit Center,Temple Ave and S. Campus Dr
49,06:05,19:42,Pomona Transit Center,Pomona Transit Center
50,06:10,19:34,Pomona Transit Center,Citrus Gold Line Station
51,06:11,19:47,Temple Ave and S. Campus Dr,Hope and 9th
52,06:11,19:05,Montclair Transit Center,Pomona Transit Center
53,06:13,19:51,Montclair Transit Center,Temple Ave and S. Campus Dr
54,06:17,19:54,Pomona Transit Center,Temple Ave and S. Campus Dr
55,06:30,19:58,Pomona Transit Center,Temple Ave and S. Campus Dr
56,06:31,20:02,Montclair Transit Center,Hope and 9th
57,06:32,20:07,Montclair Transit Center,Temple Ave and S. Campus Dr
58,07:05,20:44,Claremont Transit Center,Citrus Gold Line Station
59,07:40,20:42,Towne and Marketplace,Towne and Marketplace
60,04:20,13:48,El Monte Station,Montclair Transit Center
61,13:53,19:19,El Monte Station,Industry Park & Ride
62,05:22,17:05,San Dimas Park and Ride,Pomona Transit Center
63,17:17,22:59,Durward and D St,Towne and Marketplace
64,03:40,13:28,Montclair Transit Center,El Monte Station
65,03:50,14:38,Montclair Transit Center,Citrus Gold Line Station
66,03:55,13:38,Grand Ave Park and Ride,Pomona Transit Center
67,03:55,14:58,Montclair Transit Center,El Monte Station
68,04:00,13:02,Puente Hills Mall,Pomona Transit Center
69,04:05,13:45,Puente Hills Mall,Pomona Transit Center
70,04:00,13:28,Grand Ave Park and Ride,Temple Ave and S. Campus Dr
71,04:10,15:34,Temple Ave and S. Campus Dr,Temple Ave and S. Campus Dr
72,04:25,14:06,El Monte Station,Pomona Transit Center
73,04:25,13:39,Temple Ave and S. Campus Dr,Pomona Transit Center
74,04:26,14:02,Industry Park & Ride,Montclair Transit Center
75,04:30,13:56,Montclair Transit Center,Puente Hills Mall
76,04:42,15:26,Montclair Transit Center,Pomona Transit Center
77,04:50,13:58,Montclair Transit Center,El Monte Station
78,04:55,15:10,Temple Ave and S. Campus Dr,Pomona Transit Center
79,04:55,16:18,Montclair Transit Center,Montclair Transit Center
80,04:55,15:15,Pomona Transit Center,Pomona Transit Center
81,04:58,16:38,San Dimas Park and Ride,Pomona Transit Center
82,05:06,17:01,Montclair Transit Center,Montclair Transit Center
83,05:10,16:17,Grand Ave Park and Ride,Pomona Transit Center
84,05:10,15:38,Pomona Transit Center,El Monte Station
85,05:23,14:38,Pomona Transit Center,Pomona Transit Center
86,05:30,17:39,Claremont Transit Center,Montclair Transit Center
87,05:30,17:30,Pomona Transit Center,Pomona Transit Center
88,05:30,16:50,Pomona Transit Center,Montclair Transit Center
